Density,cohesion, friction, angle,Height,ru,Status
17.98,4.95,30.02,19.98,8,0.3,Stable
18,5,30,20,8,0.3,Stable
21.47,6.9,30.02,31.01,76.8,0.38,Failure
21.51,6.94,30,31,76.81,0.38,Failure
21.78,8.55,32,27.98,12.8,0.49,Failure
21.82,8.62,32,28,12.8,0.49,Failure
22.4,10,35,30,10,0,Stable
21.4,10,30.34,30,20,0,Stable
22.4,10,35,45,10,0.4,Failure
27.3,10,39,41,511,0.25,Stable
27.3,10,39,40,470,0.25,Stable
22.4,10,35,30,10,0.25,Stable
21.4,10,30.34,30,20,0.25,Stable
27,10,39,41,511,0.25,Stable
27,10,39,40,470,0.25,Stable
27.3,10,39,40,480,0.25,Stable
21.36,10.05,30.33,30,20,0,Stable
19.97,10.05,28.98,34.03,6,0.3,Stable
22.38,10.05,35.01,30,10,0,Stable
22.38,10.05,35.01,45,10,0.4,Failure
19.08,10.05,9.99,25.02,50,0.4,Failure
19.08,10.05,19.98,30,50,0.4,Failure
18.83,10.35,21.29,34.03,37,0.3,Failure
16.5,11.49,0,30,3.66,0,Failure
16.47,11.55,0,30,3.6,0,Failure
19.03,11.7,27.99,34.98,21,0.11,Failure
19.06,11.7,28,35,21,0.11,Failure
19.06,11.71,28,35,21,0.11,Failure
19.06,11.75,28,35,21,0.11,Failure
14,11.97,26,30,88,0,Failure
19.63,11.97,20,22,12.19,0.41,Failure
14,11.97,26,30,88,0.45,Failure
19.63,11.97,20,22,21.19,0.4,Failure
18.5,12,0,30,6,0,Failure
18.5,12,0,30,6,0.25,Failure
19.6,12,19.98,22,12.2,0.41,Failure
13.97,12,26.01,30,88,0,Failure
18.46,12,0,30,6,0,Failure
13.97,12,26.01,30,88,0.45,Failure
27.3,14,31,41,110,0.25,Stable
27,14,31,41,110,0.25,Stable
18.84,14.36,25,20,30.5,0,Stable
18.84,14.36,25,20,30.5,0.45,Failure
18.84,14.36,25,20.3,50,0.45,Failure
18.8,14.4,25.02,19.98,30.6,0,Stable
18.8,14.4,25.02,19.98,30.6,0.45,Failure
18.8,15.31,30.02,25.02,10.6,0.38,Stable
18.84,15.32,30,25,10.67,0.38,Stable
20.56,16.21,26.51,30,40,0,Failure
20.6,16.28,26.5,30,40,0,Failure
27.3,16.8,28,50,90.5,0.25,Stable
27,16.8,28,50,90.5,0.25,Stable
20.96,19.96,40.01,40.02,12,0,Stable
21.98,19.96,36,45,50,0,Failure
19.97,19.96,36,45,50,0.25,Failure
19.97,19.96,36,45,50,0.5,Failure
18.77,19.96,9.99,25.02,50,0.3,Failure
18.77,19.96,19.98,30,50,0.3,Failure
21.98,19.96,22.01,19.98,180,0,Failure
21.98,19.96,22.01,19.98,180,0.1,Failure
22,20,36,45,50,0,Failure
20,20,36,45,50,0.25,Failure
20,20,36,45,50,0.5,Failure
18,24,30.15,45,20,0.12,Failure
17.98,24.01,30.15,45,20,0.12,Failure
18.83,24.76,21.29,29.2,37,0.5,Failure
20.41,24.9,13,22,10.67,0.35,Stable
